Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type,Lat,Long,project_water
CA3390037,"CORONA, CITY OF - RECLAMATION",NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390038,RANCHO CA WATER DISTRICT - RECLAMATION,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390044,RUBIDOUX CSD - RECLAMATION,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390049,WESTERN MWD - RECLAMATION,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390074,TEMESCAL VALLEY WD - RECLAMATION,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390101,VALLEY SANITARY DISTRICT,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390102,WESTERN RIVERSIDE COUNTY REGIONAL WWA,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390104,CITY OF BEAUMONT PLANT NO. 1,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390105,"DIVERSIFIED PRODUCT INDUSTRIES, INC.",NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3390106,MORONGO BAND OF MISSION INDIANS,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
CA3399107,ANNENBERG RETREAT AT SUNNYLANDS - RECL,NP,,There are no treatment plants,RIVERSIDE  ,,,,Neither 
,,,,,,,,,Neither 
CA0400001,YOUTH WITH A MISSION-SPRINGS OF LIVING W,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400003,HARTLEY MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400004,FOREST RANCH MUTUAL WATER SYSTEM,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400007,BUTTE CREEK ESTATES MUTUAL WATER CO,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400008,GRAN MUTUAL WATER CO,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400010,PSEA CAMP - DESABLA,NC,NR,TD,BUTTE  ,GW,,,Neither 
CA0400012,GRIDLEY FARM LABOR HOUSING,C,D2,T2,BUTTE  ,GW,,,Neither 
CA0400013,MERRY MOUNTAIN MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400014,LAKE MADRONE WATER DISTRICT,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400016,BERRY CREEK COMMUNITY SERVICE DIST,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400019,OROVILLE MOBILE HOME PARK,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400020,PLEASANT GROVE MHP,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400021,ROBINSON'S CORNER MHP,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400023,GOLDEN OAKS MOBILE HOME PARK,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400026,MEADOWBROOK OAKS,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400027,FOOTHILLS MANUFACTURED HOME COMMUNUTY,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400030,GOLDEN FEATHER MHP,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400040,ALMOND GROVE MOBILE PARK,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400042,FOREST VILLAGE LLC,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400051,DINGERVILLE USA PARK,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400060,HONCUT ELEMENTARY SCHOOL,NTNC,D1,T1,BUTTE  ,GW,,,Neither 
CA0400062,RICHVALE ELEMENTARY SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400063,MANZANITA ELEMENTARY SCHOOL,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0400065,SPRING VALLEY SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GWP,,,Neither 
CA0400067,FEATHER RIVER SCHOOL,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0400068,BERRY CREEK SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400070,BUTTE-GLENN COMMUNITY COLLEGE DIST,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0400073,NORD COUNTRY SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400078,FOREST KNOLLS MUTUAL WATER CO,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400079,FOREST RANCH CHARTER SCHOOL,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400093,BAMBI INN,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400103,PG&E: PHILBROOK DAM,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400105,GRAY LODGE CHECK STATION,NC,D1,T2,BUTTE  ,GW,,,Neither 
CA0400106,RIVER ONE RV PARK,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400111,RIVER REFLECTIONS RV & CAMPGROUND,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400117,FALLING ROCK RV PARK,C,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400120,BIDWELL PARK GOLF COURSE,NC,D1,TD,BUTTE  ,GW,,,Neither 
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400132,WILD GOOSE DUCK CLUB,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400133,LUNDBERG FAMILY FARM,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0400135,DURHAM PARK,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400137,SOUTH FEATHER W&P - SLY CREEK CAMPGROUND,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400138,SOUTH FEATHER W&P - STRAWBERRY CAMPROUND,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400140,DURHAM DAYTON INDUSTRIAL PARTNERS-PRO PA,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400143,BUTTE MEADOWS CAMP,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400149,HUMBOLDT WOODLANDS MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400150,SUNSET MOULDING CHICO,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0400151,KEEFER CREEK ESTATES,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400154,TRUROOTS,NTNC,D1,T1,BUTTE  ,GW,,,Neither 
CA0400155,BIGGERS GLEN MUTUAL WATER CO,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0400158,FRANCIS PROPERTY MANAGEMENT,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400160,CHICO ROD & GUN CLUB,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400161,COHASSET INDUSTRIAL PARK,NC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400166,CHICO EASTSIDE LITTLE LEAGUE,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0400169,LOS PARIENTES,NC,NR,TD,BUTTE  ,GW,,,Neither 
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,C,D2,T2,BUTTE  ,SW,39.68508805,-121.5621432,SWP
CA0405002,DWR-MONUMENT HILL RESTROOMS,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0405003,SILVER DOLLAR FAIRGROUNDS,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0409177,G & J PROPERTIES,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409179,L. C. HUNTING CLUB,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409181,BLUE OAK TERRACE MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409183,SIERRA MOON MUTUAL WATER COMPANY,C,D1,TD,BUTTE  ,GW,,,Neither 
CA0409184,CHICO GRANGE #486,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409187,PG&E - TABLE MOUNTAIN,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0409188,"FEDEX FREIGHT, INC. CHI",NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409190,PARADISE ADVENTIST CHURCH,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409192,DOWN RANGE INDOOR TRAINING CENTER,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409193,LIBERTY 1ST WARD MEETING HOUSE,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409194,FEDEX GROUND,NTNC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409195,CRAIN PARK WATER SYSTEM,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409196,PALERMO BIBLE FAMILY CHURCH,NC,NR,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0409197,SIERRA NEVADA BREWING CO.,NTNC,D1,TD,BUTTE  ,GW,,,Neither 
CA0409200,CALVARY CONCOW CHURCH,NC,D1,There are no treatment plants,BUTTE  ,GW,,,Neither 
CA0410001,CITY OF BIGGS,C,D2,TD,BUTTE  ,GW,,,Neither 
CA0410002,CAL-WATER SERVICE CO.-CHICO,C,D5,T2,BUTTE  ,GW,,,Neither 
CA0410003,DURHAM IRRIGATION DISTRICT,C,D2,TD,BUTTE  ,GW,,,Neither 
CA0410004,CITY OF GRIDLEY,C,D2,T1,BUTTE  ,GW,,,Neither 
CA0410005,CAL-WATER SERVICE CO.-OROVILLE,C,D3,T4,BUTTE  ,SW,39.49786521,-121.5587425,SWP
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,C,D3,T4,BUTTE  ,SW,n/a,n/a,Neither 
CA0410007,PARADISE IRRIGATION DISTRICT,C,D3,T5,BUTTE  ,SW,n/a,n/a,Neither 
CA0410008,THERMALITO WATER & SEWER DIST,C,D3,T3,BUTTE  ,SW,n/a,n/a,Neither 
CA0410009,DEL ORO WATER CO.-MAGALIA,C,D1,T2,BUTTE  ,GW,,,Neither 
CA0410011,DEL ORO WATER CO.-PARADISE PINES,C,D3,TD,BUTTE  ,SWP,n/a,n/a,Neither 
CA0410012,SOUTH FEATHER W&P - BANGOR,C,D1,T4,BUTTE  ,SW,n/a,n/a,Neither 
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,C,D1,T2,BUTTE  ,SW,n/a,n/a,Neither 
,,,,,,,,,Neither 
CA4800531,VACA VILLA APARTMENTS,C,D1,TD,SOLANO  ,GW,,,Neither 
CA4800561,SNUG HARBOR RV LP,C,D1,T1,SOLANO  ,GW,,,Neither 
CA4800564,HIDDEN ACRES TRAILER VILLA,C,D1,TD,SOLANO  ,GW,,,Neither 
CA4800589,CRESTA MESA PARQUE,C,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800595,"MARIANI PACKING COMPANY, INC.",NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4800596,ROCKWELL COLLINS INC. (FKA UPCO-UTAS),NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4800612,HASTINGS ISLAND HUNTING PRESERVE,NC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800615,SUPERIOR PACKING CO,NTNC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800651,LAKE SOLANO PARK,NC,NR,TD,SOLANO  ,GW,,,Neither 
CA4800695,MOOSE LODGE 1967,NC,NR,T2,SOLANO  ,SW,,,Neither 
CA4800727,CAMPBELL SOUP DIXON,NTNC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800732,DIXON 76,NC,NR,T2,SOLANO  ,GW,,,Neither 
CA4800753,VINEYARD RV PARK,C,D1,T1,SOLANO  ,GW,,,Neither 
CA4800755,MIDWAY RV PARK,NC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800767,STOCKING RANCH DEEPWELL,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4800773,PUNJABI DHABA,NC,NR,TD,SOLANO  ,GW,,,Neither 
CA4800781,HUNTER HILL SAFETY ROADSIDE REST AREA,NC,NR,TD,SOLANO  ,GW,,,Neither 
CA4800784,WOODEN VALLEY WINERY,NC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800786,MIDWAY FOODS,NC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800797,BIRDS LANDING HUNTING PRESERVE,NC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800801,NEIL'S SERVICE CENTER,NTNC,D1,T1,SOLANO  ,GW,,,Neither 
CA4800804,DIXON MIGRANT CENTER,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4800807,SELF-SERVE PETROLEUM,NC,NR,TD,SOLANO  ,GW,,,Neither 
CA4800809,VALLEY EVANGELICAL FREE CHURCH,NC,NR,T2,SOLANO  ,GW,,,Neither 
CA4800812,WEST WIND WINERY,NC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800818,PEDRICK PRODUCE,NC,NR,T2,SOLANO  ,GW,,,Neither 
CA4800820,EB STONE,NTNC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4800826,VACA-DIXON SUBSTATION,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4810001,CITY OF BENICIA,C,D3,T4,SOLANO  ,SW,38.07240308,-122.152537,SWP
CA4810002,CALIFORNIA WATER SERVICE CO. - DIXON,C,D2,T2,SOLANO  ,GW,,,Neither 
CA4810003,CITY OF FAIRFIELD,C,D4,T5,SOLANO  ,SW,38.25691747,-122.0543405,SWP
CA4810004,CITY OF RIO VISTA,C,D3,T2,SOLANO  ,GW,,,Neither 
CA4810005,SUISUN-SOLANO WATER AUTHORITY,C,D4,T4,SOLANO  ,SW,n/a,n/a,Neither 
CA4810007,CITY OF VALLEJO,C,D5,T5,SOLANO  ,SW,38.11411518,-122.2350559,SWP
CA4810008,CITY OF VACAVILLE,C,D5,T4,SOLANO  ,SW,38.35970578,-121.9679379,SWP
CA4810009,CITY OF DIXON,C,D3,T1,SOLANO  ,GW,,,Neither 
CA4810010,SID - GIBSON CANYON,C,D1,T3,SOLANO  ,SW,n/a,n/a,Neither 
CA4810011,SID - ELMIRA,C,D1,TD,SOLANO  ,GW,,,Neither 
CA4810012,SID - QUAIL CANYON,C,D1,TD,SOLANO  ,GW,,,Neither 
CA4810013,RURAL NORTH VACAVILLE WATER DISTRICT,C,D1,T2,SOLANO  ,GW,,,Neither 
CA4810015,TRAVIS AFB WTP - VALLEJO,C,NR,T3,SOLANO  ,SW,n/a,n/a,Neither 
CA4810017,WESTERN RAILWAY MUSEUM,NC,NR,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4810018,VACAVILLE SEVENTH DAY ADVENTIST CHURCH,NTNC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4810019,NORTHBAY LOGISTICS CENTER FKA SAVEMART,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4810020,HINES NURSERIES WINTERS NORTH,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4810021,CITY OF VALLEJO-LAKES SYSTEM,C,D2,T3,SOLANO  ,SW,38.1151181,-122.2340023,SWP
CA4810023,NEIL'S SERVICE CENTER II,NC,NR,TD,SOLANO  ,GW,,,Neither 
CA4810024,SID - BLUE RIDGE OAKS,C,D1,There are no treatment plants,SOLANO  ,SWP,38.31496141,-122.0386348,SWP
CA4810025,SID - PLEASANT HILLS RANCH,C,D1,T2,SOLANO  ,SW,n/a,n/a,Neither 
CA4810026,SID - PEABODY,C,D1,There are no treatment plants,SOLANO  ,SWP,38.29751074,-121.9780417,SWP
CA4810030,HARRIS MORAN SEED COMPANY,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4810033,HINES NURSERY WINTERS SOUTH,NTNC,D1,T2,SOLANO  ,GW,,,Neither 
CA4810034,GILL SIDHU CHEVRON,NC,NR,T1,SOLANO  ,GW,,,Neither 
CA4810035,RUSH RANCH OPEN SPACE,NC,NR,T1,SOLANO  ,GW,,,Neither 
CA4810036,CONNECTION POINT CHURCH,NC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4810038,CAYMUS CORDELIA WINERY,NTNC,D1,TD,SOLANO  ,GW,,,Neither 
CA4810040,EASTERLY WWTP - VACAVILLE,NTNC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4810042,BLUE VICTORIAN WINERY,NC,NR,TD,SOLANO  ,GW,,,Neither 
CA4810043,GOTHAM GREENS,NTNC,D1,T2,SOLANO  ,GW,,,Neither 
CA4810045,MIDWAY STARS 76 GAS STATION & FOOD MART,NC,D1,There are no treatment plants,SOLANO  ,GW,,,Neither 
CA4810701,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,C,D2,T1,SOLANO  ,SWP,38.26729898,-121.9420936,SWP
CA4810800,CALIFORNIA STATE PRISON - SOLANO,C,D2,T3,SOLANO  ,SW,38.32108935,-121.9752046,SWP
CA4810801,DELTA CONSERVATION CAMP,C,D1,TD,SOLANO  ,GW,,,Neither 
CA4890001,FAIRFIELD-SUISUN SEWER DISTRICT,NP,,There are no treatment plants,SOLANO  ,,,,Neither 
CA4890003,CITY OF BENICIA,NP,,There are no treatment plants,SOLANO  ,,,,Neither 
CA4890004,CITY OF RIO VISTA - RECLAIMATION,NP,,There are no treatment plants,SOLANO  ,,,,Neither 
CA4890005,CITY OF VACAVILLE - RECLAIMATION,NP,,There are no treatment plants,SOLANO  ,,,,Neither 
,,,,,,,,,Neither 
CA3000519,HYNES ESTATES MUTUAL WATER CO.,C,D1,There are no treatment plants,ORANGE  ,GW,,,Neither 
CA3000585,PAGE AVENUE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,ORANGE  ,SWP,n/a,n/a,Neither 
CA3000618,LIBERTY PARK WATER ASSOCIATION,C,D1,There are no treatment plants,ORANGE  ,GW,,,Neither 
CA3000734,KNOTT S BERRY FARM,NTNC,D2,T1,ORANGE  ,SWP,n/a,n/a,Neither 
CA3000759,CANYON RV PARK,NTNC,D1,TD,ORANGE  ,GW,,,Neither 
CA3000778,LAZY W RANCH WATER SYSTEM,NC,NR,T1,ORANGE  ,GW,,,Neither 
CA3000819,LOS ALAMITOS RACE COURSE,NTNC,D1,TD,ORANGE  ,GW,,,Neither 
CA3000825,SOUTH MIDWAY CITY MUTUAL WATER CO.,C,D1,TD,ORANGE  ,GW,,,Neither 
CA3000940,CASPERS REGIONAL WILDERNESS PARK,NC,NR,TD,ORANGE  ,GW,,,Neither 
CA3000980,SMWD-NICHOLS INSTITUTE,NTNC,D2,TD,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010001,CITY OF ANAHEIM,C,D5,T5,ORANGE  ,SW,33.83833721,-117.8593074,SWP
CA3010002,CITY OF BREA,C,D4,There are no treatment plants,ORANGE  ,SWP,33.92546984,-117.8653805,SWP
CA3010003,CITY OF BUENA PARK,C,D5,TD,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010004,MESA  WATER DISTRICT,C,D5,T2,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010008,EASTSIDE WATER ASSOCIATION,C,D2,TD,ORANGE  ,GW,,,Neither 
CA3010010,CITY OF FULLERTON,C,D5,T2,ORANGE  ,SWP,33.88402731,-117.9278119,SWP
CA3010017,LAGUNA BEACH COUNTY WD,C,D4,TD,ORANGE  ,SWP,33.55499314,-117.7692676,SWP
CA3010018,CITY OF LA HABRA,C,D5,T2,ORANGE  ,SWP,33.9277392,-117.9510176,SWP
CA3010022,GOLDEN STATE WC - WEST ORANGE COUNTY,C,D5,T1,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010023,CITY OF NEWPORT BEACH,C,D5,T3,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010027,CITY OF ORANGE,C,D5,T1,ORANGE  ,SWP,33.80621552,-117.8301233,SWP
CA3010030,SANTA MARGARITA WATER DISTRICT-ID9,C,D4,TD,ORANGE  ,SWP,33.49910984,-117.6550559,SWP
CA3010035,GOLDEN STATE WC - PLACENTIA/YORBA LINDA,C,D5,T1,ORANGE  ,SWP,33.87986513,-117.8508327,SWP
CA3010036,CITY OF SAN CLEMENTE,C,D5,T2,ORANGE  ,SWP,33.44373378,-117.6151712,SWP
CA3010037,YORBA LINDA WATER DISTRICT,C,D5,T3,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010038,CITY OF SANTA ANA,C,D5,T3,ORANGE  ,SWP,33.73672841,-117.8818296,SWP
CA3010041,CITY OF SEAL BEACH,C,D3,TD,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010042,SOUTH COAST WATER DISTRICT,C,D4,T2,ORANGE  ,SWP,33.48051198,-117.7054695,SWP
CA3010046,CITY OF TUSTIN,C,D4,T3,ORANGE  ,SWP,33.74678666,-117.8151206,SWP
CA3010047,GOLDEN STATE WC - COWAN HEIGHTS,C,D3,T1,ORANGE  ,SWP,33.77155131,-117.7797081,SWP
CA3010053,CITY OF HUNTINGTON BEACH,C,D5,T2,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010062,CITY OF GARDEN GROVE,C,D4,T3,ORANGE  ,SWP,33.77880226,-117.9602922,SWP
CA3010064,CITY OF WESTMINSTER,C,D4,TD,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010068,EAST ORANGE COUNTY WD - RZ,C,D3,T1,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010069,CITY OF FOUNTAIN VALLEY,C,D5,T2,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010071,JOINT REGIONAL WATER SUPPLY SYSTEM,C,D4,TD,ORANGE  ,SWP,33.43700853,-117.6115454,SWP
CA3010073,MOULTON NIGUEL WATER DISTRICT,C,D5,There are no treatment plants,ORANGE  ,SWP,33.55689492,-117.703839,SWP
CA3010079,EL TORO WATER DISTRICT,C,D5,There are no treatment plants,ORANGE  ,SWP,33.61543936,-117.7112416,SWP
CA3010082,SERRANO WATER DISTRICT,C,D2,T2,ORANGE  ,SWP,33.81792674,-117.8098152,SWP
CA3010092,IRVINE RANCH WATER DISTRICT,C,D5,T5,ORANGE  ,SW,33.70443747,CA3010092,SWP
CA3010093,EAST ORANGE COUNTY WD - WZ,C,D4,TD,ORANGE  ,SWP,n/a,n/a,Neither 
CA3010094,TRABUCO CANYON WATER DISTRICT,C,D4,T3,ORANGE  ,SWP,33.66897031,-117.5909742,SWP
CA3010097,MIDWAY CITY MUTUAL WC,C,D2,TD,ORANGE  ,GW,,,Neither 
CA3010100,CITY OF LA PALMA,C,D3,T2,ORANGE  ,SWP,33.84958816,-118.053887,SWP
CA3010101,SANTA MARGARITA WATER DISTRICT,C,D5,TD,ORANGE  ,SWP,33.55808298,-117.5843768,SWP
CA3010120,SMWD - SJ GROUND WATER PLANT,C,D3,T3,ORANGE  ,GW,,,Neither 
CA3090001,ORANGE COUNTY WATER DISTRICT,NP,N/A,Missing treatment classification in SDWIS,ORANGE  ,GW,,,Neither 
CA3090002,MOULTON NIGUEL WATER DISTRICT- RW,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090003,IRVINE RANCH WATER DISTRICT- RW,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090004,CITY OF NEWPORT BEACH- RW,NP,D5,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090005,TRABUCO CANYON WATER DISTRICT- RW,NP,D4,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090006,SANTA MARGARITA WATER DISTRICT RW,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090007,SOUTH COAST WATER DISTRICT - RW,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090008,MESA WATER DISTRICT- RW,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090009,SANTA MARGARITA WATER DISTRICT-ID9-RW,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090010,SOUTH ORANGE COUNTY WASTEWATER AUTHORITY,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090011,CITY OF SANTA ANA- RW,NP,,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090012,CITY OF ANAHEIM RECYCLED WATER SYSTEM,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090013,CITY OF SAN CLEMENTE,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
CA3090015,EL TORO WD RECYCLED WATER SYSTEM,NP,N/A,There are no treatment plants,ORANGE  ,,,,Neither 
,,,,,,,,,Neither 
CA3200009,CALTRANS-MASSACK REST STOP,NC,NR,TD,PLUMAS  ,GW,,,Neither 
CA3200010,GONZALEZ WATER SYSTEM,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200016,PG&E COOL SPRINGS CG,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200017,PG&E PONDEROSA FLAT CG,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200019,OAKLAND FEATHER RIVER CAMP,NC,NR,T1,PLUMAS  ,GW,,,Neither 
CA3200020,CALTRANS-L.T. DAVIS RESTSTOP,NC,NR,TD,PLUMAS  ,GW,,,Neither 
CA3200022,CALTRANS-CHESTER SAFETY REST STOP,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200024,LITTLE BEAR RV PARK,NC,D1,TD,PLUMAS  ,GW,,,Neither 
CA3200030,ELWELL LODGE,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200031,GRAY EAGLE LODGE,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200032,GOLD LAKE LODGE,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200033,PNF LONG POINT CG,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200034,PNF BOULDER / LONE CREEK CGS,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200036,PNF FRENCHMAN & SPRING CREEK CGS,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200037,PNF BIG COVE CG,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200038,PNF COTTONWOOD CG / FRENCHMAN ADMIN,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200039,PNF CHILCOOT CG,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200040,PNF GRASSHOPPER / GRIZZLY CGS,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200044,PNF KENZIE RAVINE 1 & 2,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
CA3200046,PNF NORTH FORK / QUEEN LILY CGS,NC,NR,There are no treatment plants,PLUMAS  ,GW,,,Neither 
